backend,variant,threads,time_ms
openmp,atomic,1,775.0
openmp,atomic,2,944.0
openmp,atomic,4,723.0
openmp,atomic,8,757.0
openmp,mutex,1,1304.0
openmp,mutex,2,2251.0
openmp,mutex,4,2553.0
openmp,mutex,8,1952.0
openmp,private,1,349.0
openmp,private,2,183.0
openmp,private,4,104.0
openmp,private,8,108.0
threads,atomic,1,789.0
threads,atomic,2,955.0
threads,atomic,4,792.0
threads,atomic,8,765.0
threads,mutex,1,1632.0
threads,mutex,2,2367.0
threads,mutex,4,2003.0
threads,mutex,8,1428.0
threads,private,1,358.0
threads,private,2,191.0
threads,private,4,135.0
threads,private,8,109.0
