backend,variant,threads,time_ms,speedup,efficiency
openmp,atomic,1,10.0,1.0,1.0
openmp,atomic,4,36.0,0.2777777777777778,0.06944444444444445
openmp,mutex,1,18.0,1.0,1.0
openmp,mutex,4,77.0,0.23376623376623376,0.05844155844155844
openmp,private,1,12.0,1.0,1.0
openmp,private,4,3.0,4.0,1.0
threads,atomic,1,9.0,1.0,1.0
threads,atomic,4,32.0,0.28125,0.0703125
threads,mutex,1,26.0,1.0,1.0
threads,mutex,4,56.0,0.4642857142857143,0.11607142857142858
threads,private,1,6.0,1.0,1.0
threads,private,4,2.0,3.0,0.75
